target_chembl_id	uniprot	gene_symbol
CHEMBL1075092	O75311	GLRA3
CHEMBL1075094	Q16236	NFE2L2
CHEMBL1075097	P05089	ARG1
CHEMBL1075102	O00443	PIK3C2A
CHEMBL1075104	Q5S007	LRRK2
CHEMBL1075105	Q12974	PTP4A2
CHEMBL1075115	Q9NR20	DYRK4
CHEMBL1075126	P30613	PKLR
CHEMBL1075131	P09848	LCT
CHEMBL1075132	Q12931	TRAP1
CHEMBL1075138	Q9NUW8	TDP1
CHEMBL1075144	Q9GZQ4	NMUR2
CHEMBL1075145	P55072	VCP
CHEMBL1075149	Q9UPY5	SLC7A11
CHEMBL1075152	Q14397	GCKR
CHEMBL1075162	Q13304	GPR17
CHEMBL1075163	Q8TF76	HASPIN
CHEMBL1075165	Q8NEB9	PIK3C3
CHEMBL1075178	Q9HB89	NMUR1
CHEMBL1075180	P60033	CD81
CHEMBL1075181	O00764	PDXK
CHEMBL1075189	P14618	PKM
CHEMBL1075315	P32302	CXCR5
CHEMBL1075317	P61964	WDR5
CHEMBL1075319	Q7Z2W7	TRPM8
CHEMBL1075322	Q9Y2T6	GPR55
CHEMBL1075323	P14625	HSP90B1
CHEMBL1163101	O75460	ERN1
CHEMBL1163120	O75747	PIK3C2G
CHEMBL1163125	O60885	BRD4
CHEMBL1250343	O15269	SPTLC1
CHEMBL1250344	O15270	SPTLC2
CHEMBL1250348	P01106	MYC
CHEMBL1250350	P13674	P4HA1
CHEMBL1250358	P25942	CD40
CHEMBL1250375	Q9NPH5	NOX4
CHEMBL1250378	Q15393	SF3B3
CHEMBL1250402	O94759	TRPM2
CHEMBL1250415	P06865	HEXA
CHEMBL1250417	Q9Y3Q4	HCN4
CHEMBL1255126	O15151	MDM4
CHEMBL1255137	P56704	WNT3A
CHEMBL1255139	P62834	RAP1A
CHEMBL1255161	Q96B36	AKT1S1
CHEMBL1255167	Q9Y2T1	AXIN2
CHEMBL1275210	Q86SK9	SCD5
CHEMBL1275212	P50053	KHK
CHEMBL1275221	Q96LA8	PRMT6
CHEMBL1275223	P11142	HSPA8
CHEMBL1287622	Q9Y468	L3MBTL1
CHEMBL1287623	Q96JM7	L3MBTL3
CHEMBL1287624	Q8NA19	L3MBTL4
CHEMBL1287625	Q05BQ5	MBTD1
CHEMBL1293191	P11308	ERG
CHEMBL1293194	P50416	CPT1A
CHEMBL1293197	Q9BZP6	CHIA
CHEMBL1293222	Q9Y239	NOD1
CHEMBL1293224	P10636	MAPT
CHEMBL1293226	B2RXH2	KDM4E
CHEMBL1293227	O75604	USP2
CHEMBL1293229	P22736	NR4A1
CHEMBL1293230	P26599	PTBP1
CHEMBL1293232	Q16637	SMN2
CHEMBL1293235	P02545	LMNA
CHEMBL1293236	P46063	RECQL
CHEMBL1293237	P54132	BLM
CHEMBL1293240	Q15149	PLEC
CHEMBL1293243	Q8TDD5	MCOLN3
CHEMBL1293249	Q13887	KLF5
CHEMBL1293255	P15428	HPGD
CHEMBL1293256	P40225	THPO
CHEMBL1293257	P51570	GALK1
CHEMBL1293258	P84022	SMAD3
CHEMBL1293266	Q9HC29	NOD2
CHEMBL1293267	Q9HC97	GPR35
CHEMBL1293274	Q15056	EIF4H
CHEMBL1293275	O00167	EYA2
CHEMBL1293276	O14924	RGS12
CHEMBL1293277	O15118	NPC1
CHEMBL1293278	O75496	GMNN
CHEMBL1293286	P11940	PABPC1
CHEMBL1293287	P14735	IDE
CHEMBL1293289	P25440	BRD2
CHEMBL1293292	P48048	KCNJ1
CHEMBL1293293	P48145	NPBWR1
CHEMBL1293295	P54578	USP14
CHEMBL1293296	P61981	YWHAG
CHEMBL1293298	Q01453	PMP22
CHEMBL1293299	Q03164	KMT2A
CHEMBL1293314	Q92560	BAP1
CHEMBL1293316	Q9HBX9	RXFP1
CHEMBL1293317	Q9NR56	MBNL1
CHEMBL1293320	Q9Y570	PPME1
CHEMBL1615381	O00255	MEN1
CHEMBL1615384	Q9H2X9	SLC12A5
CHEMBL1615386	Q13951	CBFB
CHEMBL1615388	Q9UBE0	SAE1
CHEMBL1628461	Q8TDS5	OXER1
CHEMBL1628465	Q9H1D0	TRPV6
CHEMBL1628477	P78348	ASIC1
CHEMBL1628481	P35414	APLNR
CHEMBL1628482	Q8WXD0	RXFP2
CHEMBL1641347	Q4U2R8	SLC22A6
CHEMBL1641348	Q8TCC7	SLC22A8
CHEMBL1649048	Q13609	DNASE1L3
CHEMBL1649051	Q14451	GRB7
CHEMBL1649052	P13500	CCL2
CHEMBL1671608	P56470	LGALS4
CHEMBL1671609	Q96HE7	ERO1A
CHEMBL1671612	P14927	UQCRB
CHEMBL1681631	O75608	LYPLA1
CHEMBL1697668	Q9Y6L6	SLCO1B1
CHEMBL1697671	P49763	PGF
CHEMBL1741162	O15305	PMM2
CHEMBL1741164	O60240	PLIN1
CHEMBL1741165	O75030	MITF
CHEMBL1741176	P17861	XBP1
CHEMBL1741179	P31941	APOBEC3A
CHEMBL1741186	P51449	RORC
CHEMBL1741187	P52292	KPNA2
CHEMBL1741191	P63279	UBE2I
CHEMBL1741193	P83916	CBX1
CHEMBL1741195	P98073	TMPRSS15
CHEMBL1741200	Q2TB90	HKDC1
CHEMBL1741207	Q96LD8	SENP8
CHEMBL1741208	Q96P20	NLRP3
CHEMBL1741209	Q96QE3	ATAD5
CHEMBL1741210	Q99549	MPHOSPH8
CHEMBL1741213	Q9BQF6	SENP7
CHEMBL1741214	Q9C000	NLRP1
CHEMBL1741215	Q9GZR1	SENP6
CHEMBL1741217	Q9HC16	APOBEC3G
CHEMBL1741220	Q9UIF8	BAZ2B
CHEMBL1741221	Q9Y4P1	ATG4B
CHEMBL1743122	O15244	SLC22A2
CHEMBL1743126	Q96FL8	SLC47A1
CHEMBL1743127	Q86VL8	SLC47A2
CHEMBL1743317	Q9HAW7	UGT1A7
CHEMBL1743318	Q9HAW9	UGT1A8
CHEMBL1743319	O60656	UGT1A9
CHEMBL1743320	Q9HAW8	UGT1A10
CHEMBL1744522	Q99814	EPAS1
CHEMBL1744525	P43490	NAMPT
CHEMBL1764940	P27694	RPA1
CHEMBL1764946	O95931	CBX7
CHEMBL1770034	Q8TBX8	PIP4K2C
CHEMBL1770047	Q9NY91	SLC5A4
CHEMBL1772926	Q9UNH5	CDC14A
CHEMBL1772932	O43683	BUB1
CHEMBL1778	P01589	IL2RA
CHEMBL1781	P11387	TOP1
CHEMBL1781865	P11021	HSPA5
CHEMBL1781868	Q53EL6	PDCD4
CHEMBL1782	P14324	FDPS
CHEMBL1783	P15692	VEGFA
CHEMBL1784	P43220	GLP1R
CHEMBL1785	P24530	EDNRB
CHEMBL1787	P18405	SRD5A1
CHEMBL1792	P35346	SSTR5
CHEMBL1793	Q03431	PTH1R
CHEMBL1795085	Q99700	ATXN2
CHEMBL1795087	O94782	USP1
CHEMBL1795103	Q9NPA2	MMP25
CHEMBL1795116	O14744	PRMT5
CHEMBL1795117	Q8TEK3	DOT1L
CHEMBL1795120	P68104	EEF1A1
CHEMBL1795122	Q05639	EEF1A2
CHEMBL1795138	O60235	TMPRSS11D
CHEMBL1795139	Q8IU80	TMPRSS6
CHEMBL1795148	P78540	ARG2
CHEMBL1795150	Q6DHV7	ADAL
CHEMBL1795168	Q9NZ45	CISD1
CHEMBL1795171	O60741	HCN1
CHEMBL1795172	Q9UL51	HCN2
CHEMBL1795173	Q9P1Z3	HCN3
CHEMBL1795176	Q9NQR1	KMT5A
CHEMBL1795184	Q86U86	PBRM1
CHEMBL1795185	Q58F21	BRDT
CHEMBL1795186	Q15059	BRD3
CHEMBL1795195	Q96Q15	SMG1
CHEMBL1800	P34998	CRHR1
CHEMBL1801	P00747	PLG
CHEMBL1803	P20701	ITGAL
CHEMBL1804	P30874	SSTR2
CHEMBL1805	P30939	HTR1F
CHEMBL1806	P11388	TOP2A
CHEMBL1808	P12821	ACE
CHEMBL1810	P34981	TRHR
CHEMBL1811	P34995	PTGER1
CHEMBL1821	P08173	CHRM4
CHEMBL1822	P20839	IMPDH1
CHEMBL1824	P04626	ERBB2
CHEMBL1825	P01375	TNF
CHEMBL1827	O76074	PDE5A
CHEMBL1829	O15379	HDAC3
CHEMBL1832	P30988	CALCR
CHEMBL1833	P41595	HTR2B
CHEMBL1835	P24557	TBXAS1
CHEMBL1836	P35408	PTGER4
CHEMBL1839	P07202	TPO
CHEMBL1841	P06241	FYN
CHEMBL1844	P07333	CSF1R
CHEMBL1845	P35498	SCN1A
CHEMBL1847	P28472	GABRB3
CHEMBL1850	P21918	DRD5
CHEMBL1853	P31391	SSTR4
CHEMBL1854	P22888	LHCGR
CHEMBL1855	P30968	GNRHR
CHEMBL1859	O95180	CACNA1H
CHEMBL1860	P10827	THRA
CHEMBL1861	P32754	HPD
CHEMBL1862	P00519	ABL1
CHEMBL1864	P40238	MPL
CHEMBL1866	P51787	KCNQ1
CHEMBL1867	P08913	ADRA2A
CHEMBL1868	P17948	FLT1
CHEMBL1869	P11926	ODC1
CHEMBL1870	P28702	RXRB
CHEMBL1873	P00750	PLAT
CHEMBL1875	Q13639	HTR4
CHEMBL1878	P41180	CASR
CHEMBL1881	P43116	PTGER2
CHEMBL1882	P43681	CHRNA4
CHEMBL1886	Q14654	KCNJ11
CHEMBL1887	P17181	IFNAR1
CHEMBL1889	P37288	AVPR1A
CHEMBL1892	Q04609	FOLH1
CHEMBL1898	P28222	HTR1B
CHEMBL1899	P46098	HTR3A
CHEMBL1900	P15121	AKR1B1
CHEMBL1901	P32238	CCKAR
CHEMBL1902	P62942	FKBP1A
CHEMBL1903	P30531	SLC6A1
CHEMBL1904	Q13224	GRIN2B
CHEMBL1906	P04049	RAF1
CHEMBL1907	P15144	ANPEP
