name	mechanism_of_action	target_moa	target_chembl_id	indication_efo_term	efo_id	max_phase_for_ind	action_type
CETIRIZINE	Histamine H1 receptor antagonist	HRH1	CHEMBL231	urticaria	EFO:0005531	4	ANTAGONIST
CETIRIZINE	Histamine H1 receptor antagonist	HRH1	CHEMBL231	allergic rhinitis	EFO:0005854	4	ANTAGONIST
PENTAZOCINE	Sigma opioid receptor modulator	SIGMAR1	CHEMBL287	pain	EFO:0003843	4	MODULATOR
LEVOSALBUTAMOL	Beta-2 adrenergic receptor agonist	ADRB2	CHEMBL210	asthma	EFO:0000270	3	AGONIST
DOXYLAMINE	Histamine H1 receptor antagonist	HRH1	CHEMBL231	allergic rhinitis	EFO:0005854	1	ANTAGONIST
DOXYLAMINE	Histamine H1 receptor antagonist	HRH1	CHEMBL231	infection	EFO:0000544	1	ANTAGONIST
DOXYLAMINE	Histamine H1 receptor antagonist	HRH1	CHEMBL231	Nausea and vomiting	HP:0002017	3	ANTAGONIST
AFIMOXIFENE	Estrogen-related receptor gamma antagonist	ESRRG	CHEMBL4245	ductal adenocarcinoma	EFO:0000430	2	ANTAGONIST
AFIMOXIFENE	Estrogen-related receptor gamma antagonist	ESRRG	CHEMBL4245	breast carcinoma	EFO:0000305	2	ANTAGONIST
GONADORELIN	Gonadotropin-releasing hormone receptor agonist	GNRHR	CHEMBL1855	prostate adenocarcinoma	EFO:0000673	3	AGONIST
GONADORELIN	Gonadotropin-releasing hormone receptor agonist	GNRHR	CHEMBL1855	infertility	EFO:0000545	3	AGONIST
GONADORELIN	Gonadotropin-releasing hormone receptor agonist	GNRHR	CHEMBL1855	prostate carcinoma	EFO:0001663	3	AGONIST
GONADORELIN	Gonadotropin-releasing hormone receptor agonist	GNRHR	CHEMBL1855	breast carcinoma	EFO:0000305	3	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	pain	EFO:0003843	2	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Retinitis pigmentosa	Orphanet:791	2	AGONIST
