tid	target_chembl_id	pref_name	tax_id	organism	target_type	uniprot	gene_symbol	prot_fam
1	CHEMBL2074	Maltase-glucoamylase	9606	Homo sapiens	SINGLE PROTEIN	O43451	MGAM	other
2	CHEMBL1971	Sulfonylurea receptor 2	9606	Homo sapiens	SINGLE PROTEIN	O60706	ABCC9	other
3	CHEMBL1827	Phosphodiesterase 5A	9606	Homo sapiens	SINGLE PROTEIN	O76074	PDE5A	other
4	CHEMBL1859	Voltage-gated T-type calcium channel alpha-1H subunit	9606	Homo sapiens	SINGLE PROTEIN	O95180	CACNA1H	ion channel
6	CHEMBL202	Dihydrofolate reductase	9606	Homo sapiens	SINGLE PROTEIN	P00374	DHFR	other
8	CHEMBL1862	Tyrosine-protein kinase ABL	9606	Homo sapiens	SINGLE PROTEIN	P00519	ABL1	kinase
9	CHEMBL203	Epidermal growth factor receptor erbB1	9606	Homo sapiens	SINGLE PROTEIN	P00533	EGFR	kinase
11	CHEMBL204	Thrombin	9606	Homo sapiens	SINGLE PROTEIN	P00734	F2	other
12	CHEMBL1801	Plasminogen	9606	Homo sapiens	SINGLE PROTEIN	P00747	PLG	other
14	CHEMBL1910	Adenosine deaminase	9606	Homo sapiens	SINGLE PROTEIN	P00813	ADA	other
15	CHEMBL205	Carbonic anhydrase II	9606	Homo sapiens	SINGLE PROTEIN	P00918	CA2	other
16	CHEMBL1950	Antithrombin-III	9606	Homo sapiens	SINGLE PROTEIN	P01008	SERPINC1	other
19	CHEMBL206	Estrogen receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	P03372	ESR1	nuclear_receptor
23	CHEMBL2000	Plasma kallikrein	9606	Homo sapiens	SINGLE PROTEIN	P03952	KLKB1	other
24	CHEMBL402	HMG-CoA reductase	9606	Homo sapiens	SINGLE PROTEIN	P04035	HMGCR	other
25	CHEMBL2034	Glucocorticoid receptor	9606	Homo sapiens	SINGLE PROTEIN	P04150	NR3C1	nuclear_receptor
28	CHEMBL1952	Thymidylate synthase	9606	Homo sapiens	SINGLE PROTEIN	P04818	TYMS	other
29	CHEMBL1807	Sodium/potassium-transporting ATPase alpha-1 chain	9606	Homo sapiens	SINGLE PROTEIN	P05023	ATP1A1	other
30	CHEMBL1935	Aldehyde dehydrogenase	9606	Homo sapiens	SINGLE PROTEIN	P05091	ALDH2	other
32	CHEMBL2033	Cytochrome P450 11A1	9606	Homo sapiens	SINGLE PROTEIN	P05108	CYP11A1	other
33	CHEMBL1848	Tubulin beta-2 chain	9606	Homo sapiens	SINGLE PROTEIN	P68371	TUBB4B	other
34	CHEMBL1905	Fibronectin receptor beta	9606	Homo sapiens	SINGLE PROTEIN	P05556	ITGB1	other
35	CHEMBL1981	Insulin receptor	9606	Homo sapiens	SINGLE PROTEIN	P06213	INSR	kinase
36	CHEMBL208	Progesterone receptor	9606	Homo sapiens	SINGLE PROTEIN	P06401	PGR	nuclear_receptor
38	CHEMBL1968	Epoxide hydrolase 1	9606	Homo sapiens	SINGLE PROTEIN	P07099	EPHX1	other
39	CHEMBL1969	Tyrosine 3-hydroxylase	9606	Homo sapiens	SINGLE PROTEIN	P07101	TH	other
40	CHEMBL1839	Thyroid peroxidase	9606	Homo sapiens	SINGLE PROTEIN	P07202	TPO	other
41	CHEMBL1970	Alcohol dehydrogenase alpha chain	9606	Homo sapiens	SINGLE PROTEIN	P07327	ADH1A	other
42	CHEMBL209	Trypsin I	9606	Homo sapiens	SINGLE PROTEIN	P07477	PRSS1	other
43	CHEMBL210	Beta-2 adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P07550	ADRB2	other
47	CHEMBL211	Muscarinic acetylcholine receptor M2	9606	Homo sapiens	SINGLE PROTEIN	P08172	CHRM2	other
48	CHEMBL1994	Mineralocorticoid receptor	9606	Homo sapiens	SINGLE PROTEIN	P08235	NR3C2	nuclear_receptor
49	CHEMBL212	Integrin alpha-IIb	9606	Homo sapiens	SINGLE PROTEIN	P08514	ITGA2B	other
50	CHEMBL213	Beta-1 adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P08588	ADRB1	other
51	CHEMBL214	Serotonin 1a (5-HT1a) receptor	9606	Homo sapiens	SINGLE PROTEIN	P08908	HTR1A	other
52	CHEMBL1867	Alpha-2a adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P08913	ADRA2A	other
54	CHEMBL1828	DNA polymerase alpha subunit	9606	Homo sapiens	SINGLE PROTEIN	P09884	POLA1	other
55	CHEMBL215	Arachidonate 5-lipoxygenase	9606	Homo sapiens	SINGLE PROTEIN	P09917	ALOX5	other
56	CHEMBL1871	Androgen Receptor	9606	Homo sapiens	SINGLE PROTEIN	P10275	AR	nuclear_receptor
57	CHEMBL2055	Retinoic acid receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	P10276	RARA	nuclear_receptor
59	CHEMBL1860	Thyroid hormone receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	P10827	THRA	nuclear_receptor
60	CHEMBL1976	Growth hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	P10912	GHR	other
61	CHEMBL216	Muscarinic acetylcholine receptor M1	9606	Homo sapiens	SINGLE PROTEIN	P11229	CHRM1	other
62	CHEMBL1781	DNA topoisomerase I	9606	Homo sapiens	SINGLE PROTEIN	P11387	TOP1	other
63	CHEMBL1806	DNA topoisomerase II alpha	9606	Homo sapiens	SINGLE PROTEIN	P11388	TOP2A	other
64	CHEMBL1977	Vitamin D receptor	9606	Homo sapiens	SINGLE PROTEIN	P11473	VDR	nuclear_receptor
65	CHEMBL1978	Cytochrome P450 19A1	9606	Homo sapiens	SINGLE PROTEIN	P11511	CYP19A1	other
68	CHEMBL2002	Inosine-5'-monophosphate dehydrogenase 2	9606	Homo sapiens	SINGLE PROTEIN	P12268	IMPDH2	other
69	CHEMBL1808	Angiotensin-converting enzyme	9606	Homo sapiens	SINGLE PROTEIN	P12821	ACE	other
71	CHEMBL1782	Farnesyl diphosphate synthase	9606	Homo sapiens	SINGLE PROTEIN	P14324	FDPS	other
72	CHEMBL217	Dopamine D2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P14416	DRD2	other
73	CHEMBL1973	Tyrosinase	9606	Homo sapiens	SINGLE PROTEIN	P14679	TYR	other
74	CHEMBL1962	GABA receptor alpha-1 subunit	9606	Homo sapiens	SINGLE PROTEIN	P14867	GABRA1	ion channel
77	CHEMBL1812	Pancreatic lipase	9606	Homo sapiens	SINGLE PROTEIN	P16233	PNLIP	other
78	CHEMBL1963	Thyroid stimulating hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	P16473	TSHR	other
79	CHEMBL1787	Steroid 5-alpha-reductase 1	9606	Homo sapiens	SINGLE PROTEIN	P18405	SRD5A1	other
80	CHEMBL1902	FK506-binding protein 1A	9606	Homo sapiens	SINGLE PROTEIN	P62942	FKBP1A	other
81	CHEMBL1842	Myeloid cell surface antigen CD33	9606	Homo sapiens	SINGLE PROTEIN	P20138	CD33	other
83	CHEMBL1843	DOPA decarboxylase	9606	Homo sapiens	SINGLE PROTEIN	P20711	DDC	other
84	CHEMBL1822	Inosine-5'-monophosphate dehydrogenase 1	9606	Homo sapiens	SINGLE PROTEIN	P20839	IMPDH1	other
86	CHEMBL1951	Monoamine oxidase A	9606	Homo sapiens	SINGLE PROTEIN	P21397	MAOA	other
87	CHEMBL218	Cannabinoid CB1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P21554	CNR1	other
88	CHEMBL2056	Dopamine D1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P21728	DRD1	other
89	CHEMBL1846	Ryanodine receptor 1	9606	Homo sapiens	SINGLE PROTEIN	P21817	RYR1	ion channel
90	CHEMBL219	Dopamine D4 receptor	9606	Homo sapiens	SINGLE PROTEIN	P21917	DRD4	other
91	CHEMBL2023	Catechol O-methyltransferase	9606	Homo sapiens	SINGLE PROTEIN	P21964	COMT	other
93	CHEMBL220	Acetylcholinesterase	9606	Homo sapiens	SINGLE PROTEIN	P22303	ACHE	other
95	CHEMBL1854	Luteinizing hormone/Choriogonadotropin receptor	9606	Homo sapiens	SINGLE PROTEIN	P22888	LHCGR	other
96	CHEMBL221	Cyclooxygenase-1	9606	Homo sapiens	SINGLE PROTEIN	P23219	PTGS1	other
97	CHEMBL2075	Cyclophilin B	9606	Homo sapiens	SINGLE PROTEIN	P23284	PPIB	other
98	CHEMBL1830	Ribonucleoside-diphosphate reductase M1 chain	9606	Homo sapiens	SINGLE PROTEIN	P23921	RRM1	other
99	CHEMBL2024	Follicle stimulating hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	P23945	FSHR	other
100	CHEMBL222	Norepinephrine transporter	9606	Homo sapiens	SINGLE PROTEIN	P23975	SLC6A2	other
102	CHEMBL1941	Histamine H2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P25021	HRH2	other
103	CHEMBL223	Alpha-1d adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P25100	ADRA1D	other
104	CHEMBL2039	Monoamine oxidase B	9606	Homo sapiens	SINGLE PROTEIN	P27338	MAOB	other
106	CHEMBL1898	Serotonin 1b (5-HT1b) receptor	9606	Homo sapiens	SINGLE PROTEIN	P28222	HTR1B	other
107	CHEMBL224	Serotonin 2a (5-HT2a) receptor	9606	Homo sapiens	SINGLE PROTEIN	P28223	HTR2A	other
108	CHEMBL225	Serotonin 2c (5-HT2c) receptor	9606	Homo sapiens	SINGLE PROTEIN	P28335	HTR2C	other
111	CHEMBL1786	Inositol-1(or 4)-monophosphatase 1	9606	Homo sapiens	SINGLE PROTEIN	P29218	IMPA1	other
112	CHEMBL1790	Vasopressin V2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P30518	AVPR2	other
113	CHEMBL1903	GABA transporter 1	9606	Homo sapiens	SINGLE PROTEIN	P30531	SLC6A1	other
114	CHEMBL226	Adenosine A1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P30542	ADORA1	other
115	CHEMBL227	Type-1 angiotensin II receptor	9606	Homo sapiens	SINGLE PROTEIN	P30556	AGTR1	other
116	CHEMBL2049	Oxytocin receptor	9606	Homo sapiens	SINGLE PROTEIN	P30559	OXTR	other
117	CHEMBL1804	Somatostatin receptor 2	9606	Homo sapiens	SINGLE PROTEIN	P30874	SSTR2	other
118	CHEMBL1855	Gonadotropin-releasing hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	P30968	GNRHR	other
119	CHEMBL1832	Calcitonin receptor	9606	Homo sapiens	SINGLE PROTEIN	P30988	CALCR	other
120	CHEMBL1856	Steroid 5-alpha-reductase 2	9606	Homo sapiens	SINGLE PROTEIN	P31213	SRD5A2	other
121	CHEMBL228	Serotonin transporter	9606	Homo sapiens	SINGLE PROTEIN	P31645	SLC6A4	other
123	CHEMBL1861	4-hydroxyphenylpyruvate dioxygenase	9606	Homo sapiens	SINGLE PROTEIN	P32754	HPD	other
124	CHEMBL1800	Corticotropin releasing factor receptor 1	9606	Homo sapiens	SINGLE PROTEIN	P34998	CRHR1	other
125	CHEMBL229	Alpha-1a adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P35348	ADRA1A	other
126	CHEMBL230	Cyclooxygenase-2	9606	Homo sapiens	SINGLE PROTEIN	P35354	PTGS2	other
127	CHEMBL231	Histamine H1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P35367	HRH1	other
128	CHEMBL232	Alpha-1b adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P35368	ADRA1B	other
129	CHEMBL233	Mu opioid receptor	9606	Homo sapiens	SINGLE PROTEIN	P35372	OPRM1	other
130	CHEMBL234	Dopamine D3 receptor	9606	Homo sapiens	SINGLE PROTEIN	P35462	DRD3	other
131	CHEMBL1845	Sodium channel protein type I alpha subunit	9606	Homo sapiens	SINGLE PROTEIN	P35498	SCN1A	ion channel
132	CHEMBL1791	Amiloride-sensitive sodium channel alpha-subunit	9606	Homo sapiens	SINGLE PROTEIN	P37088	SCNN1A	ion channel
133	CHEMBL235	Peroxisome proliferator-activated receptor gamma	9606	Homo sapiens	SINGLE PROTEIN	P37231	PPARG	nuclear_receptor
134	CHEMBL1889	Vasopressin V1a receptor	9606	Homo sapiens	SINGLE PROTEIN	P37288	AVPR1A	other
136	CHEMBL236	Delta opioid receptor	9606	Homo sapiens	SINGLE PROTEIN	P41143	OPRD1	other
137	CHEMBL237	Kappa opioid receptor	9606	Homo sapiens	SINGLE PROTEIN	P41145	OPRK1	other
138	CHEMBL2014	Nociceptin receptor	9606	Homo sapiens	SINGLE PROTEIN	P41146	OPRL1	other
140	CHEMBL1987	Prostanoid FP receptor	9606	Homo sapiens	SINGLE PROTEIN	P43088	PTGFR	other
142	CHEMBL1881	Prostanoid EP2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P43116	PTGER2	other
143	CHEMBL1995	Prostanoid IP receptor	9606	Homo sapiens	SINGLE PROTEIN	P43119	PTGIR	other
144	CHEMBL1899	Serotonin 3a (5-HT3a) receptor	9606	Homo sapiens	SINGLE PROTEIN	P46098	HTR3A	ion channel
146	CHEMBL1985	Glucagon receptor	9606	Homo sapiens	SINGLE PROTEIN	P47871	GCGR	other
147	CHEMBL1925	Secretin receptor	9606	Homo sapiens	SINGLE PROTEIN	P47872	SCTR	other
148	CHEMBL1921	Vasopressin V1b receptor	9606	Homo sapiens	SINGLE PROTEIN	P47901	AVPR1B	other
149	CHEMBL1929	Xanthine dehydrogenase	9606	Homo sapiens	SINGLE PROTEIN	P47989	XDH	other
150	CHEMBL1919	Voltage-gated calcium channel alpha2/delta subunit 1	9606	Homo sapiens	SINGLE PROTEIN	P54289	CACNA2D1	other
151	CHEMBL1876	Thiazide-sensitive sodium-chloride cotransporter	9606	Homo sapiens	SINGLE PROTEIN	P55017	SLC12A3	other
153	CHEMBL2044	Gamma-amino-N-butyrate transaminase	9606	Homo sapiens	SINGLE PROTEIN	P80404	ABAT	other
154	CHEMBL1965	Melanocortin receptor 2	9606	Homo sapiens	SINGLE PROTEIN	Q01718	MC2R	other
155	CHEMBL238	Dopamine transporter	9606	Homo sapiens	SINGLE PROTEIN	Q01959	SLC6A3	other
157	CHEMBL1966	Dihydroorotate dehydrogenase	9606	Homo sapiens	SINGLE PROTEIN	Q02127	DHODH	other
158	CHEMBL2032	Growth hormone-releasing hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	Q02643	GHRHR	other
160	CHEMBL1793	Parathyroid hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	Q03431	PTH1R	other
161	CHEMBL2015	Glutamate (NMDA) receptor subunit zeta 1	9606	Homo sapiens	SINGLE PROTEIN	Q05586	GRIN1	ion channel
162	CHEMBL1893	Synaptic vesicular amine transporter	9606	Homo sapiens	SINGLE PROTEIN	Q05940	SLC18A2	other
163	CHEMBL239	Peroxisome proliferator-activated receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	Q07869	PPARA	nuclear_receptor
164	CHEMBL2071	Sulfonylurea receptor 1	9606	Homo sapiens	SINGLE PROTEIN	Q09428	ABCC8	other
165	CHEMBL240	HERG	9606	Homo sapiens	SINGLE PROTEIN	Q12809	KCNH2	ion channel
166	CHEMBL1972	Glutamate [NMDA] receptor subunit epsilon 1	9606	Homo sapiens	SINGLE PROTEIN	Q12879	GRIN2A	ion channel
167	CHEMBL1874	Sodium-(potassium)-chloride cotransporter 2	9606	Homo sapiens	SINGLE PROTEIN	Q13621	SLC12A1	other
168	CHEMBL1875	Serotonin 4 (5-HT4) receptor	9606	Homo sapiens	SINGLE PROTEIN	Q13639	HTR4	other
169	CHEMBL1940	Voltage-gated L-type calcium channel alpha-1C subunit	9606	Homo sapiens	SINGLE PROTEIN	Q13936	CACNA1C	ion channel
170	CHEMBL241	Phosphodiesterase 3A	9606	Homo sapiens	SINGLE PROTEIN	Q14432	PDE3A	other
172	CHEMBL1927	Thioredoxin reductase 1	9606	Homo sapiens	SINGLE PROTEIN	Q16881	TXNRD1	other
174	CHEMBL242	Estrogen receptor beta	9606	Homo sapiens	SINGLE PROTEIN	Q92731	ESR2	nuclear_receptor
175	CHEMBL1997	Equilibrative nucleoside transporter 1	9606	Homo sapiens	SINGLE PROTEIN	Q99808	SLC29A1	other
176	CHEMBL2001	Purinergic receptor P2Y12	9606	Homo sapiens	SINGLE PROTEIN	Q9H244	P2RY12	other
179	CHEMBL1798	Cysteinyl leukotriene receptor 1	9606	Homo sapiens	SINGLE PROTEIN	Q9Y271	CYSLTR1	other
180	CHEMBL1949	Cyclophilin A	9606	Homo sapiens	SINGLE PROTEIN	P62937	PPIA	other
